original_generic,generic,qud_att_focus,qud_concept_focus,qud_no_focus
"Generally, a herbivores have to eat plants.",a herbivores have to eat plants .,what herbivores have to do,what has to eat plants,what is true about herbivores
"Generally, a hedge shears may be used to cut through a hedge.",a hedge shears are used to cut through a hedge .,what hedge shears are used to do,what is used to cut through a hedge,what is true about hedge shears
"Generally, a hair gel is meant to be applied to the hair.",a hair gel is meant to be applied to the hair .,what hair gels are meant,what is meant to be applied to the hair,what is true about hair gels
"Generally, a hair clips can be purchased.",a hair clips are purchased .,what hair clips are,what is purchased,what is true about hair clips
"Generally, a hair clips can be found in the hair salon.",a hair clips are found in the hair salon .,where hair clips are found,what is found in the hair salon,what is true about hair clips
"Generally, a gun are used for hunting.",a gun are used for hunting .,what guns are used for,what is used for hunting,what is true about guns
"Generally, a exhaust fan can be used to cool the engine compartment.",a exhaust fan is used to cool the engine compartment .,what exhaust fans are used to do,what is used to cool the engine compartment,what is true about exhaust fans
"Generally, a detergents are used to clean the skin.",a detergents are used to clean the skin .,what detergents are used to do,what is used to clean the skin,what is true about detergents
"Generally, a detergent may be applied to the skin to cleanse.",a detergent is applied to the skin to cleanse .,what detergents are applied,what is applied to the skin to cleanse,what is true about detergents
"Generally, a desert plant has to be able to survive in very dry conditions.",a desert plant is able to survive in very dry conditions .,what desert plants are able to do,what is able to survive in very dry conditions,what is true about desert plants
"Generally, a daybook can be used to create a calendar.",a daybook is used to create a calendar .,what daybooks are used to do,what is used to create a calendar,what is true about daybooks
"Generally, a cushion has to be thick enough to support the weight.",a cushion is thick enough to support the weight .,what cushions are thick,what is thick enough to support the weight,what is true about cushions
"Generally, a cudgel can be used to hit someone in the face with.",a cudgel is used to hit someone in the face with .,what cudgels are used to do,what is used to hit someone in the face with,what is true about cudgels
"Generally, a crockery can be removed from a dishwasher by hand.",a crockery is removed from a dishwasher by hand .,what crockeries are removed from,what is removed from a dishwasher by hand,what is true about crockeries
"Generally, a coyote should be considered a wild animal.",a coyote is considered a wild animal .,what coyotes are considered,what is considered a wild animal,what is true about coyotes
"Generally, a coyote may be considered to be a wild animal.",a coyote is a wild animal .,what coyotes are,what is a wild animal,what is true about coyotes
"Generally, a court shoes may be worn by a person.",a court shoes are worn by a person .,who court shoes are worn by,what is worn by a person,what is true about court shoes
"Generally, a conflict may be resolved through negotiation, mediation or arbitration.","a conflict is resolved through negotiation , mediation or arbitration .",what conflicts are resolved through,"what is resolved through negotiation , mediation or arbitration",what is true about conflicts
"Generally, a clock can be set to a specific time.",a clock is set to a specific time .,what clocks are set to,what is set to a specific time,what is true about clocks
"Generally, a census is a count.",a census is a count .,what census are,what is a count,what is true about census
"Generally, a camera is used to take pictures of things.",a camera is used to take pictures of things .,what cameras are used to do,what is used to take pictures of things,what is true about cameras
"Generally, a camera is used to take pictures of the world.",a camera is used to take pictures of the world .,what cameras are used to do,what is used to take pictures of the world,what is true about cameras
"Generally, a bulldozer may be used to clear a path.",a bulldozer is used to clear a path .,what bulldozers are used to do,what is used to clear a path,what is true about bulldozers
"Generally, a bugle is an instrument used to call the military.",a bugle is an instrument used to call the military .,what bugles are an instrument used to do,what is an instrument used to call the military,what is true about bugles
"Generally, a bugle can be used to signal an attack or retreat.",a bugle is used to signal an attack or retreat .,what bugles are used to do,what is used to signal an attack or retreat,what is true about bugles
"Generally, a bluetooth speakers have a volume control.",a bluetooth speakers have a volume control .,what bluetooth speakers have,what has a volume control,what is true about bluetooth speakers
"Generally, a bluetooth speaker can be powered.",a bluetooth speaker is powered .,what bluetooth speakers are,what is powered,what is true about bluetooth speakers
"Generally, a bedroom should consist of a bed.",a bedroom consists of a bed .,what bedrooms consist of,what consists of a bed,what is true about bedrooms
"Generally, a bear may be killed by shooting it with an arrow.",a bear is killed by shooting it with an arrow .,what bears are killed by,what is killed by shooting it with an arrow,what is true about bears
"Generally, a backhoe can be fastened to a truck, which can then be used to dig trenches.","a backhoe is fastened to a truck , which can then be used to dig trenches .",what backhoes are fastened to,"what is fastened to a truck , which can then be used to dig trenches",what is true about backhoes
Frogs are smaller than most birds.,Frogs are smaller than most birds .,what frogs are smaller than,what is smaller than most birds,what is true about frogs
Fabric softeners can be used for softening.,Fabric softeners are used for softening .,what fabric softeners are used for,what is used for softening,what is true about fabric softeners
Fabric softeners can be considered to be a chemical.,Fabric softeners are a chemical .,what fabric softeners are,what is a chemical,what is true about fabric softeners
Daffodils are a great way to brighten up your garden.,Daffodils are a great way to brighten up your garden .,what daffodils are a great way,what is a great way to brighten up your garden,what is true about daffodils
Crucifixions have always been part of the Christian faith.,Crucifixions have always been part of the Christian faith .,what crucifixions have always been part of,what has always been part of the Christian faith,what is true about crucifixions
Coincidences are everywhere in life.,Coincidences are everywhere in life .,what coincidences are,what is everywhere in life,what is true about coincidences
Coincidence is part of the human condition.,Coincidence is part of the human condition .,what coincidences are part of,what is part of the human condition,what is true about coincidences
Clothes dryer should be installed in a well ventilated area.,Clothes dryer is installed in a well ventilated area .,where clothes dryers are installed,what is installed in a well ventilated area,what is true about clothes dryers
Clothes dryer may be used in the bathroom.,Clothes dryer is used in the bathroom .,where clothes dryers are used,what is used in the bathroom,what is true about clothes dryers
Clothes dryer has a heating element.,Clothes dryer has a heating element .,what clothes dryers have,what has a heating element,what is true about clothes dryers
Cameras should be able to see.,Cameras are able to see .,what cameras are able to do,what is able to see,what is true about cameras
Cameras have long been used to capture images.,Cameras have long been used to capture images .,what cameras have long been used to do,what has long been used to capture images,what is true about cameras
Aquatic animals may be able to breathe air.,Aquatic animals are able to breathe air .,what aquatic animals are able to do,what is able to breathe air,what is true about aquatic animals
Aquatic animals are found in the water.,Aquatic animals are found in the water .,where aquatic animals are found,what is found in the water,what is true about aquatic animals
"Typically, a shoebox can be considered to be a container.",a shoebox is a container .,what shoeboxes are,what is a container,what is true about shoeboxes
"Generally, a dvd players may have the ability to play DVDs.",a dvd players has the ability to play DVDs .,what dvd players have,what has the ability to play DVDs,what is true about dvd players
"In a medical clinic, you'll find a doctor.","In a medical clinic , you will find a doctor .",where doctors are found,what is found in a medical clinic,what is true about doctors
"Typically, a defendant can be charged with a crime.",a defendant is charged with a crime .,,,
"Generally, defendants can be charged with a crime.",defendants is charged with a crime .,,,
"Usually, crockery can be found in the kitchen.",crockery is found in the kitchen .,where crockeries are found,what is found in the kitchen,what is true about crockeries
"Generally, a porpoise may be considered to be a mammal.",a porpoise is a mammal .,what porpoises are,what is a mammal,what is true about porpoises
"Typically, ladles can be found in the kitchen.",ladles is found in the kitchen .,where ladles are found,what is found in the kitchen,what is true about ladles
"Generally, a strawberry is considered to be a berry.",a strawberry is a berry .,what strawberries are,what is a berry,what is true about strawberries
"Generally, cookbooks are written for people who cook.",cookbooks are written for people who cook .,what cookbooks are written for,what is written for people who cook,what is true about cookbooks
"Typically, an aloha shirt can consist of a shirt.",an aloha shirt can consist of a shirt .,what aloha shirts consist of,what consists of a shirt,what is true about aloha shirts
"Typically, a cookers may have a maximum temperature.",a cookers has a maximum temperature .,what cookers have,what has a maximum temperature,what is true about cookers
"Usually, an ill patient may be admitted to the hospital with symptoms.",an ill patient is admitted to the hospital with symptoms .,,,
"Generally, cushions are made of a material.",cushions are made of a material .,what cushions are made of,what is made of a material,what is true about cushions
"Generally, a venomous snake is an animal that has venom.",a venomous snake is an animal that has venom .,what venomous snakes are an animal,what is an animal that has venom,what is true about venomous snakes
"Typically, guns may be used to commit a crime.",guns is used to commit a crime .,what guns are used to do,what is used to commit a crime,what is true about guns
"Generally, a concert halls should be able to handle a crowd.",a concert halls should be able to handle a crowd .,what concert halls are able to do,what is able to handle a crowd,what is true about concert halls
"Generally, zebras may be seen in the wild.",zebras is seen in the wild .,where zebras are seen,what is seen in the wild,what is true about zebras
"Typically, a plane should be in the air.",a plane should be in the air .,where planes are,what is in the air,what is true about planes
"Usually, a red banana is a banana.",a red banana is a banana .,what red bananas are,what is a banana,what is true about red bananas
"Typically, scenes are shot with a camera.",scenes are shot with a camera .,what scenes are shot with,what is shot with a camera,what is true about scenes
"Generally, a lactose intolerance may be caused by an intolerance to lactose.",a lactose intolerance is caused by an intolerance to lactose .,what lactose intolerances are caused by,what is caused by an intolerance to lactose,what is true about lactose intolerances
"Typically, a sis is a girl.",a sis is a girl .,,,
Coconut milk can be found in most grocery stores.,Coconut milk is found in most grocery stores .,where coconut milks are found,what is found in most grocery stores,what is true about coconut milks
"Generally, an advertisement may be deemed to be misleading if it is likely to mislead an ordinary consumer.",an advertisement is deemed to be misleading if it is likely to mislead an ordinary consumer .,what advertisements are deemed to do,what is deemed to be misleading if it is likely to mislead an ordinary consumer,what is true about advertisements
"Generally, a fabric softener can be considered to be an ingredient that softens fabric fibers.",a fabric softener is an ingredient that softens fabric fibers .,what fabric softeners are an ingredient,what is an ingredient that softens fabric fibers,what is true about fabric softeners
"Typically, an evergreen trees have evergreen needles.",an evergreen trees have evergreen needles .,what evergreen trees have,what has evergreen needles,what is true about evergreen trees
"Typically, an advertisement can be seen by anyone.",an advertisement is seen by anyone .,what advertisements are seen by,what is seen by anyone,what is true about advertisements
"Generally, shoeboxes can be considered to be a good way to store items.",shoeboxes is a good way to store items .,what shoeboxes are a good way,what is a good way to store items,what is true about shoeboxes
"Generally, a alligator is considered a reptile.",a alligator is a reptile .,what alligators are considered,what is considered a reptile,what is true about alligators
"Typically, ice creams are sweetened with sugar.",ice creams are sweetened with sugar .,what ice creams are sweetened with,what is sweetened with sugar,what is true about ice creams
"Generally, grizzly bears have a diet.",grizzly bears have a diet .,what grizzly bears have,what has a diet,what is true about grizzly bears
"Typically, clothes dryers have a thermostat, which controls how hot your clothes get.","clothes dryers have a thermostat , which controls how hot your clothes get .",what clothes dryers have,"what has a thermostat , which controls how hot your clothes get",what is true about clothes dryers
"Typically, strawberries have a sweet flavor.",strawberries have a sweet flavor .,what strawberries have,what has a sweet flavor,what is true about strawberries
"Generally, lactose intolerances have to do with an intolerance to lactose.",lactose intolerances have to do with an intolerance to lactose .,what lactose intolerances have to do,what has to do with an intolerance to lactose,what is true about lactose intolerances
"Typically, a grizzly bear may be observed in the wild.",a grizzly bear is observed in the wild .,where grizzly bears are observed,what is observed in the wild,what is true about grizzly bears
"Typically, a dilator can be found in a medical clinic.",a dilator is found in a medical clinic .,where dilators are found,what is found in a medical clinic,what is true about dilators
"Typically, a weed is considered an invasive species if it displaces native plant species.",a weed is an invasive species if it displaces native plant species .,what invasive weeds displace,what displaces native plant species,what is true about invasive weeds
"Typically, a quakes are caused by a fault.",a quakes are caused by a fault .,what quakes are caused by,what is caused by a fault,what is true about quakes
"Generally, an air pollution may have an adverse effect on human health.",an air pollution has an adverse effect on human health .,what air pollutions have,what has an adverse effect on human health,what is true about air pollutions
"Generally, a showrooms are open to the public during business hours.",a showrooms are open to the public during business hours .,what showrooms are open to,what is open to the public during business hours,what is true about showrooms
"Generally, lactose intolerances have to do with an allergy to lactose.",lactose intolerances have to do with an allergy to lactose .,what lactose intolerances have to do,what has to do with an allergy to lactose,what is true about lactose intolerances
"Generally, a livestock may be considered to be ""in distress"" if it is unable to feed itself.","a livestock is "" in distress "" if it is unable to feed itself .",what livestocks in distress are unable to do,what is unable to feed itself,what is true about livestocks in distress
"Generally, an ova may be fertilized.",an ova is fertilized .,what ova are,what is fertilized,what is true about ova
"Typically, bows may have a string attached.",bows has a string attached .,what bows have,what has a string attached,what is true about bows
"Generally, expeditions are organized by a group leader.",expeditions are organized by a group leader .,who expeditions are organized by,what is organized by a group leader,what is true about expeditions
"Usually, a musical note may be played on a piano, violin, cello, harpsichord, etc.","a musical note is played on a piano , violin , cello , harpsichord , etc .",what musical notes are played on,"what is played on a piano , violin , cello , harpsichord , etc",what is true about musical notes
"Typically, a hedge shears are used for trimming.",a hedge shears are used for trimming .,what hedge shears are used for,what is used for trimming,what is true about hedge shears
"Generally, a mango tree may be used to produce mangoes.",a mango tree is used to produce mangoes .,what mango trees are used to do,what is used to produce mangoes,what is true about mango trees
"On an ointment, you can apply it to your skin.","On an ointment , you can apply it to your skin .",what ointments are applied to,what is applied to skin,what is true about ointments
"Typically, a jet should be able to land on the runway.",a jet should be able to land on the runway .,what jets are able to do,what is able to land on the runway,what is true about jets
"Usually, a hippopotamus is in the water.",a hippopotamus is in the water .,where hippopotamus are,what is in the water,what is true about hippopotamus
Stomachs are an important part of the body.,Stomachs are an important part of the body .,what stomachs are an important part of,what is an important part of the body,what is true about stomachs
"Generally, ill patients have to be admitted to the hospital.",ill patients must be admitted to the hospital .,,,
"Generally, water parks may be closed due to inclement weather or other unforeseen circumstances.",water parks is closed due to inclement weather or other unforeseen circumstances .,what water parks are closed due,what is closed due to inclement weather or other unforeseen circumstances,what is true about water parks
"Usually, an apple has to be ripe to be eaten.",an apple must be ripe to be eaten .,what apples are ripe to do,what is ripe to be eaten,what is true about apples
"Typically, a ill patient can be diagnosed.",a ill patient is diagnosed .,,,
"Typically, coconut milk may have a slight coconut flavor.",coconut milk has a slight coconut flavor .,what coconut milks have,what has a slight coconut flavor,what is true about coconut milks
"Generally, screws are used to fasten two pieces of metal together.",screws are used to fasten two pieces of metal together .,what screws are used to do,what is used to fasten two pieces of metal together,what is true about screws
"Generally, perfumes may have a very strong smell.",perfumes has a very strong smell .,what perfumes have,what has a very strong smell,what is true about perfumes
"Typically, dandruff can be found in the scalp.",dandruff is found in the scalp .,where dandruffs are found,what is found in the scalp,what is true about dandruffs
"Usually, air pollution has a negative impact.",air pollution has a negative impact .,what air pollutions have,what has a negative impact,what is true about air pollutions
"Typically, pressure cookers have a maximum temperature range.",pressure cookers have a maximum temperature range .,what pressure cookers have,what has a maximum temperature range,what is true about pressure cookers
"Generally, a defendant is presumed innocent until proven guilty beyond reasonable doubt.",a defendant is presumed innocent until proven guilty beyond reasonable doubt .,,,
"At a washbasin, you'll be able to see the water.","At a washbasin , you will be able to see the water .",what waters are visible at,what is visible at a washbasin,what is true about waters
"Typically, a ill patient may have a fever, headache.","a ill patient has a fever , headache .",,,
"Generally, a spider mite should be considered a pest.",a spider mite should be a pest .,what spider mites are considered,what is considered a pest,what is true about spider mites
"Generally, defendants are presumed innocent until proven guilty beyond a reasonable doubt.",defendants are presumed innocent until proven guilty beyond a reasonable doubt .,,,
"Typically, dvd players are connected to a television via HDMI.",dvd players are connected to a television via HDMI .,what dvd players are connected to,what is connected to a television via HDMI,what is true about dvd players
"Usually, a hippopotamus is found in the wild.",a hippopotamus is found in the wild .,where hippopotamus are found,what is found in the wild,what is true about hippopotamus
"Typically, music groups are able to get their music played on the radio.",music groups are able to get their music played on the radio .,what music groups are able to do,what is able to get their music played on the radio,what is true about music groups
"Usually, spaceships have to be able to move.",spaceships must be able to move .,what spaceships are able to do,what is able to move,what is true about spaceships
"Generally, bluetooth speakers are meant to be used with a smartphone.",bluetooth speakers are meant to be used with a smartphone .,what bluetooth speakers are meant,what is meant to be used with a smartphone,what is true about bluetooth speakers
"Generally, a riverbank should be level with the water.",a riverbank should be level with the water .,what riverbanks are level with,what is level with the water,what is true about riverbanks
"Usually, a water park can be a great place to spend an afternoon.",a water park is a great place to spend an afternoon .,what water parks are a great place,what is a great place to spend an afternoon,what is true about water parks
"Generally, a decanter should be filled to the brim with wine.",a decanter should be filled to the brim with wine .,what decanters are filled to,what is filled to the brim with wine,what is true about decanters
Pine trees are an important part of the natural environment.,Pine trees are an important part of the natural environment .,what pine trees are an important part of,what is an important part of the natural environment,what is true about pine trees
"Usually, a lactose intolerance is a problem.",a lactose intolerance is a problem .,what lactose intolerances are,what is a problem,what is true about lactose intolerances
"Usually, natural selection produces organisms that are adapted to their environment.",natural selection produces organisms that are adapted to their environment .,what natural selections produce,what produces organisms that are adapted to their environment,what is true about natural selections
"Typically, a witness are asked to testify.",a witness are asked to testify .,,,
"Typically, bobsleighs are used for the Olympic games.",bobsleighs are used for the Olympic games .,what bobsleighs are used for,what is used for the Olympic games,what is true about bobsleighs
"Generally, a newborn baby can't talk.",a newborn baby ca n't talk .,,,
"Generally, a concert hall can only hold so many people at any given time.",a concert hall can only hold so many people at any given time .,what concert halls are able to do,what is able to only hold so many people at any given time,what is true about concert halls
Painting is a great way to express your creativity.,Painting is a great way to express your creativity .,what paintings are a great way,what is a great way to express your creativity,what is true about paintings
"Generally, stimulants are used to treat ADHD.",stimulants are used to treat ADHD .,what stimulants are used to do,what is used to treat ADHD,what is true about stimulants
"Generally, routers should be configured.",routers should be configured .,what routers are,what is configured,what is true about routers
"Usually, skunks should be left alone.",skunks should be left alone .,what skunks are left,what is left alone,what is true about skunks
"Typically, a porpoise is found swimming.",a porpoise is found swimming .,what porpoises are found,what is found swimming,what is true about porpoises
"Usually, an electrical connection can be used to charge a battery.",an electrical connection is used to charge a battery .,what electrical connections are used to do,what is used to charge a battery,what is true about electrical connections
"Usually, raccoons are found in wooded areas.",raccoons are found in wooded areas .,where raccoons are found,what is found in wooded areas,what is true about raccoons
Clothes dryer have been around for a long time.,Clothes dryer have been around for a long time .,what clothes dryers have been around,what has been around for a long time,what is true about clothes dryers
"Typically, a kale may have a greenish tinge.",a kale has a greenish tinge .,what kales have,what has a greenish tinge,what is true about kales
"Typically, a musical note can consist of any number of tones.",a musical note can consist of any number of tones .,what musical notes consist of,what consists of any number of tones,what is true about musical notes
Telephone booths are a common sight.,Telephone booths are a common sight .,what telephone booths are,what is a common sight,what is true about telephone booths
"Typically, a painting should be placed on a flat surface.",a painting should be placed on a flat surface .,what paintings are placed on,what is placed on a flat surface,what is true about paintings
"Typically, botany can consist of many different fields.",botany can consist of many different fields .,what botanies consist of,what consists of many different fields,what is true about botanies
"Typically, a sis is an older sister who takes care of her younger siblings.",a sis is an older sister who takes care of her younger siblings .,,,
"Typically, a router can be configured to forward traffic to a specific IP address.",a router is configured to forward traffic to a specific IP address .,what routers are configured to do,what is configured to forward traffic to a specific IP address,what is true about routers
"Typically, owls should be left alone.",owls should be left alone .,what owls are left,what is left alone,what is true about owls
"Generally, air pollutions can be reduced by switching to cleaner fuels.",air pollutions is reduced by switching to cleaner fuels .,what air pollutions are reduced by,what is reduced by switching to cleaner fuels,what is true about air pollutions
"Generally, a gun is designed to be used.",a gun is designed to be used .,what guns are designed,what is designed to be used,what is true about guns
"Typically, a water pump can be made of many different types of components.",a water pump is made of many different types of components .,what water pumps are made of,what is made of many different types of components,what is true about water pumps
"Generally, an weaver should be able to make a decent living.",an weaver should be able to make a decent living .,what weavers are able to do,what is able to make a decent living,what is true about weavers
"Typically, scenes may be set in the past, present, future.","scenes is set in the past , present , future .",where scenes are set,"what is set in the past , present , future",what is true about scenes
"Generally, mango trees are grown for their fruit.",mango trees are grown for their fruit .,what mango trees are grown for,what is grown for their fruit,what is true about mango trees
"Typically, lactose intolerance has to do with an allergy.",lactose intolerance has to do with an allergy .,what lactose intolerances have to do,what has to do with an allergy,what is true about lactose intolerances
"Generally, a water park produces enough revenue to cover its operating costs.",a water park produces enough revenue to cover its operating costs .,what water parks produce,what produces enough revenue to cover its operating costs,what is true about water parks
"Typically, a chapel has to be built in order to be consecrated.",a chapel must be built in order to be consecrated .,where chapels are built,what is built in order to be consecrated,what is true about chapels
"Generally, a riverbanks may have many different species.",a riverbanks has many different species .,what riverbanks have,what has many different species,what is true about riverbanks
"Generally, a scene may have only one actor.",a scene has only one actor .,who scenes have,what has only one actor,what is true about scenes
"Usually, a wall fans are used to cool a room by circulating warm air.",a wall fans are used to cool a room by circulating warm air .,what wall fans are used to,what is used to cool a room by circulating warm air,what is true about wall fans
"Usually, an ovum should be fertilized by a sperm.",an ovum should be fertilized by a sperm .,what ova are fertilized by,what is fertilized by a sperm,what is true about ova
"Usually, pecans have a nutty aroma.",pecans have a nutty aroma .,what pecans have,what has a nutty aroma,what is true about pecans
Alligators are faster than humans on land.,Alligators are faster than humans on land .,what alligators are faster than,what is faster than humans on land,what is true about alligators
"Typically, a quake is followed by an aftershock, which can be even stronger.","a quake is followed by an aftershock , which is even stronger .",what quakes are followed by,"what is followed by an aftershock , which can be even stronger",what is true about quakes
Inflammatory diseases may have multiple causes.,Inflammatory diseases has multiple causes .,what inflammatory diseases have,what has multiple causes,what is true about inflammatory diseases
"Generally, a reception can be a great time.",a reception is a great time .,what receptions are,what is a great time,what is true about receptions
"Generally, coyotes have been known to prey on small mammals, including rabbits, squirrels, chipmunks, skunks","coyotes have been known to prey on small mammals , including rabbits , squirrels , chipmunks , skunks",what coyotes have been known to do,"what has been known to prey on small mammals , including rabbits , squirrels , chipmunks , skunks",what is true about coyotes
"Typically, lactose intolerance produces bloating, cramping.","lactose intolerance produces bloating , cramping .",what lactose intolerances produce,"what produces bloating , cramping",what is true about lactose intolerances
"In a washbasin, you'll need to fill the sink with warm water.","In a washbasin , you will need to fill the sink with warm water .",,,
"Generally, a salad spinner has to be able to move.",a salad spinner must be able to move .,what salad spinners are able to do,what is able to move,what is true about salad spinners
"Usually, a bluetooth speaker has to be paired with a smartphone.",a bluetooth speaker must be paired with a smartphone .,what bluetooth speakers are paired with,what is paired with a smartphone,what is true about bluetooth speakers
"Generally, a fishbone may have been removed from the fish.",a fishbone was removed from the fish .,what fishbones are removed from,what is removed from the fish,what is true about fishbones
"Generally, a lightning has to pass through the atmosphere.",a lightning has to pass through the atmosphere .,what lightnings have to do,what has to pass through the atmosphere,what is true about lightnings
"Typically, bulldozers have been used to clear the land.",bulldozers have been used to clear the land .,what bulldozers have been used to do,what has been used to clear the land,what is true about bulldozers
Clothes dryer is the most efficient way to dry clothes.,Clothes dryer is the most efficient way to dry clothes .,what clothes dryers are the most efficient way,what is the most efficient way to dry clothes,what is true about clothes dryers
Pancreas are an important part of the digestive system.,Pancreas are an important part of the digestive system .,what pancreas are an important part of,what is an important part of the digestive system,what is true about pancreas
"Typically, a cake is made with a mixture.",a cake is made with a mixture .,what cakes are made with,what is made with a mixture,what is true about cakes
"Generally, routers should be set to use DHCP.",routers should be set to use DHCP .,what routers are set to do,what is set to use DHCP,what is true about routers
"Generally, clocks have to be accurate to within one second.",clocks must be accurate to within one second .,what clocks are accurate to within,what is accurate to within one second,what is true about clocks
"Generally, a germination has to occur in the soil.",a germination has to occur in the soil .,what germinations have to do,what has to occur in the soil,what is true about germinations
Chimpanzees are known to use tools to obtain food.,Chimpanzees are known to use tools to obtain food .,what chimpanzees are known to do,what is known to use tools to obtain food,what is true about chimpanzees
"Generally, strawberries have a mild flavor.",strawberries have a mild flavor .,what strawberries have,what has a mild flavor,what is true about strawberries
"Typically, a clutter of cats is considered a problem.",a clutter of cats is a problem .,,,
"Typically, a papaya plants are grown from seed, which is then harvested.","a papaya plants are grown from seed , which is then harvested .",what papaya plants are grown from,"what is grown from seed , which is then harvested",what is true about papaya plants
"Typically, a submarines are designed to operate for a long time.",a submarines are designed to operate for a long time .,what submarines are designed to do,what is designed to operate for a long time,what is true about submarines
"Typically, family pets are predisposed to certain health issues.",family pets are predisposed to certain health issues .,what family pets are predisposed to,what is predisposed to certain health issues,what is true about family pets
"Usually, newborn babies have a hard time digesting solid food.",newborn babies have a hard time digesting solid food .,,,
Livestock has always been an important part of the human diet.,Livestock has always been an important part of the human diet .,what livestocks have always been an important part of,what has always been an important part of the human diet,what is true about livestocks
"Generally, an will should be drafted by a qualified attorney.",an will should be drafted by a qualified attorney .,who ans are drafted by,what is drafted by a qualified attorney,what is true about ans
Chimpanzees have been shown to be able to use tools.,Chimpanzees have been shown to be able to use tools .,what chimpanzees have been shown to do,what has been shown to be able to use tools,what is true about chimpanzees
"Generally, stocks can be expected to go up.",stocks is expected to go up .,what stocks are expected to do,what is expected to go up,what is true about stocks
"Usually, a fishbone can consist of any number of different bones.",a fishbone can consist of any number of different bones .,what fishbones consist of,what consists of any number of different bones,what is true about fishbones
"Typically, grandsons may have a different relationship with their grandfather.",grandsons has a different relationship with their grandfather .,,,
"Generally, a clock has to be accurate to within one second.",a clock must be accurate to within one second .,what clocks are accurate to,what is accurate to within one second,what is true about clocks
"Usually, an ice creams are made from a mixture.",an ice creams are made from a mixture .,what ice creams are made from,what is made from a mixture,what is true about ice creams
Screws have a tendency to loosen.,Screws have a tendency to loosen .,what screws have,what has a tendency to loosen,what is true about screws
"Typically, a telephone booths are designed to be used by a single person.",a telephone booths are designed to be used by a single person .,who telephone booths are designed,what is designed to be used by a single person,what is true about telephone booths
Molluscs have been around for a very long time.,Molluscs have been around for a very long time .,what molluscs have been around,what has been around for a very long time,what is true about molluscs
"Typically, pecans may have to be peeled before eating them.",pecans must be peeled before eating them .,what pecans are peeled before,what is peeled before eating them,what is true about pecans
"Typically, nuclear fissions are thought to occur in the core.",nuclear fissions are to occur in the core .,what nuclear fissions are thought to do,what is thought to occur in the core,what is true about nuclear fissions
"Generally, a b vitamin may have a synergistic effect with other nutrients.",a b vitamin has a synergistic effect with other nutrients .,what b vitamins have,what has a synergistic effect with other nutrients,what is true about b vitamins
"Usually, newborn babies have a hard time sleeping.",newborn babies have a hard time sleeping .,,,
"Usually, a zebra fish may be found swimming in a tank.",a zebra fish is found swimming in a tank .,what zebra fish are found,what is found swimming in a tank,what is true about zebra fish
"Generally, scenes have to be shot in a certain way.",scenes must be shot in a certain way .,where scenes are shot,what is shot in a certain way,what is true about scenes
Frogs are an important part of the ecosystem.,Frogs are an important part of the ecosystem .,what frogs are an important part of,what is an important part of the ecosystem,what is true about frogs
"Generally, pecans produce a nutty, earthy flavor.","pecans produce a nutty , earthy flavor .",what pecans produce,"what produces a nutty , earthy flavor",what is true about pecans
"Usually, pecans have a hard shell.",pecans have a hard shell .,what pecans have,what has a hard shell,what is true about pecans
"Usually, bumpers are made of metal.",bumpers are made of metal .,what bumpers are made of,what is made of metal,what is true about bumpers
"Usually, a scene should consist of at least two characters.",a scene should consist of at least two characters .,what scenes consist of,what consists of at least two characters,what is true about scenes
"Generally, a lactose intolerance may have a mild to moderate degree.",a lactose intolerance has a mild to moderate degree .,what lactose intolerances have,what has a mild to moderate degree,what is true about lactose intolerances
"Typically, ambulances may have to make multiple trips to the scene.",ambulances has to make multiple trips to the scene .,what ambulances have to do,what has to make multiple trips to the scene,what is true about ambulances
