generic,original_generic,category
Lizards have body temperature.,lizards have body temperature.,maj
Snakes feed on amphibians.,snakes feed on amphibians.,maj
Tortoises extend necks.,tortoises extend necks.,maj
Garter snakes hibernate during the winter.,garter snakes hibernate during the winter.,maj
Snakes handle large prey.,snakes handle large prey.,maj
Snakes have broad flat heads.,snakes have broad flat heads.,maj
Snakes have pupils.,snakes have pupils.,maj
Geckos occupy different habitats.,geckos occupy different habitats.,maj
Pancake tortoises have shells.,pancake tortoises have shells.,maj
Saltwater crocodiles inhabit water.,saltwater crocodiles inhabit water.,maj
Snakes eat eggs.,snakes eat eggs.,maj
Tortoises feed on shrubs.,tortoises feed on shrubs.,maj
Ball pythons have long reproductive life.,ball pythons have long reproductive life.,maj
Poisonous snakes have triangle-shaped heads.,poisonous snakes have triangle-shaped heads.,maj
Sea turtles lack teeth.,sea turtles lack teeth.,maj
Crocodiles float in water.,crocodiles float in water.,maj
Vipers are known as vipers.,vipers are known as vipers.,maj
Crocodiles make eggs.,crocodiles make eggs.,maj
Crocodiles feed on prey.,crocodiles feed on prey.,maj
Lizards develop skin.,lizards develop skin.,maj
American crocodiles rely on habitats.,american crocodiles rely on habitats.,maj
Crocodiles eat food.,crocodiles eat food.,maj
Snakes reach body size.,snakes reach body size.,maj
Crocodiles attain large adult size.,crocodiles attain large adult size.,maj
Crocodiles become predators.,crocodiles become predators.,maj
Crocodiles prefer saltwater habitats.,crocodiles prefer saltwater habitats.,maj
Snakes live as solitary animals.,"snakes live as solitary animals, and  rattlesnakes follow that same course.",maj
Tortoises live for years.,tortoises live for years.,maj
Saltwater crocodiles reproduce during seasons.,saltwater crocodiles reproduce during seasons.,maj
Snakes kill animals.,snakes kill animals.,maj
Iguanas grow feet.,iguanas grow feet.,maj
Tropical tortoises feed food.,tropical tortoises feed food.,maj
Marine iguanas have long tails.,marine iguanas have long tails.,maj
Snakes eat food.,snakes eat food.,maj
Lizards have tongues.,lizards have tongues.,maj
Snakes emit pheromone.,snakes emit pheromone.,maj
Crocodiles attack solitary animals.,crocodiles attack solitary animals.,maj
Snakes feed in grass.,snakes feed in grass.,maj
Lizards are located in forests.,lizards are located in forests.,maj
Snakes live for  months.,snakes live for  months.,maj
Lizards occur in habitats.,lizards occur in habitats.,maj
Geckos inhabit arid regions.,geckos inhabit arid regions.,maj
Snakes use specialized belly scales.,"snakes use specialized belly scales, which grip surfaces, to move.",maj
Lizards possess limbs.,lizards possess limbs.,maj
Tortoises have heads.,tortoises have heads.,maj
Lizards have color vision.,lizards have color vision.,maj
Snakes occur in habitats.,snakes occur in habitats.,maj
Crocodiles attain size.,crocodiles attain size.,maj
Lizards have natural habitats.,lizards have natural habitats.,maj
Crocodiles have powerful claws.,crocodiles have powerful claws.,maj
Green anoles have growth.,green anoles have growth.,maj
Snakes has-part tongues.,snakes has-part tongues.,maj
Pit vipers are ovoviviparous.,pit vipers are ovoviviparous.,maj
Lizards have habitats.,lizards have habitats.,maj
Geckos have sticky feet.,geckos have sticky feet.,maj
Day geckos have patterns of red spots on their backs.,day geckos have patterns of red spots on their backs.,maj
Rainbow snakes eat prey.,rainbow snakes eat prey.,maj
Lizards feed on insects.,lizards feed on insects.,maj
Tortoises have tails.,tortoises have tails.,maj
Snakes eat large meals.,snakes eat large meals.,maj
Snakes lay eggs.,snakes lay eggs.,maj
Sea turtles have carapaces.,sea turtles have carapaces.,maj
Snakes bury eggs.,snakes bury eggs.,maj
Marine iguanas regulate body temperature.,marine iguanas regulate body temperature.,maj
Crocodiles seek prey.,crocodiles seek prey.,maj
Crocodiles live in water.,crocodiles live in water.,maj
Lizards use eyes.,lizards use eyes.,maj
Crocodiles are more aggressive than the related alligators .,crocodiles are more aggressive than the related alligators .,maj
Crocodiles come out of water.,crocodiles come out of water.,maj
Snakes feed on small rodents.,snakes feed on small rodents.,maj
Lizards have four legs.,"lizards have four legs, eyelids, and ear openings.",maj
Crocodiles are known as crocodiles.,crocodiles are known as crocodiles.,maj
Snakes require proteins.,snakes require proteins.,maj
Lizards have toes.,lizards have toes.,maj
King cobras have jaws.,king cobras have jaws.,maj
Ball pythons have jaws.,ball pythons have jaws.,maj
American crocodiles feed on small fish.,american crocodiles feed on small fish.,maj
Snakes eat bugs or rodents.,snakes eat bugs or rodents.,maj
Young iguanas eat insects.,young iguanas eat insects.,maj
Venomous snakes replace their fangs every few weeks.,venomous snakes replace their fangs every few weeks.,maj
Snakes have relatively poor vision.,"snakes have relatively poor vision, perceiving only motion, light and darkness.",maj
Wasps are carnivorous.,"wasps are carnivorous, feeding on insects, grubs, or spiders.",maj
Lizards develop eyes.,lizards develop eyes.,maj
Saltwater crocodiles have teeth.,saltwater crocodiles have teeth.,maj
Geckos have toes.,geckos have toes.,maj
Crocodiles eat fish.,crocodiles eat fish.,maj
Geckos prey on prey.,geckos prey on prey.,maj
Snakes consume animals.,snakes consume animals.,maj
Snakes use egg teeth.,snakes use egg teeth.,maj
Sea turtles have shells.,sea turtles have shells.,maj
Snakes hibernate during winter.,snakes hibernate during winter.,maj
American alligators have legs.,american alligators have legs.,maj
Tortoises develop thin shells.,tortoises develop thin shells.,maj
Lizards possess coloration.,lizards possess coloration.,maj
Lizards shed skin.,lizards shed skin.,maj
Lizards can swim.,lizards can swim.,maj
Crocodiles reproduce during wet seasons.,crocodiles reproduce during wet seasons.,maj
Snakes have skin.,snakes have skin.,maj
Crocodiles come from water.,crocodiles come from water.,maj
Vipers have triangular heads.,vipers have triangular heads.,maj
Snakes have the ability to flatten their heads.,"snakes have the ability to flatten their heads, which gives it a triangular appearance.",maj
Snakes live in fields.,snakes live in fields.,maj
Crocodiles exhibit eyes.,crocodiles exhibit eyes.,maj
Snakes possess venom.,snakes possess venom.,maj
Male tortoises defend territory.,male tortoises defend territory.,maj
Lizards consume diets.,lizards consume diets.,maj
American alligators have short legs.,american alligators have short legs.,maj
Tortoises develop shells.,tortoises develop shells.,maj
Desert tortoises feed on shrubs.,desert tortoises feed on shrubs.,maj
Snakes live for months.,snakes live for months.,maj
Tortoises have high dome shells.,tortoises have high dome shells.,maj
Wasps abandon their nests in the autumn.,"wasps abandon their nests in the autumn, with the mated queens overwintering.",maj
Snakes are active during the day.,snakes are active during the day.,maj
Lizards have acute vision.,lizards have acute vision.,maj
Vipers have hollow fangs.,vipers have hollow fangs.,maj
Snakes survive environmental conditions.,snakes survive environmental conditions.,maj
Saltwater crocodiles kill prey.,saltwater crocodiles kill prey.,maj
Monitor lizards have lungs.,monitor lizards have lungs.,maj
Vipers are slender to stout-bodied snakes with a short tail.,vipers are slender to stout-bodied snakes with a short tail.,maj
Common lizards eat bugs.,common lizards eat bugs.,maj
Snakes have sharp senses.,snakes have sharp senses.,maj
Snake venoms are mixtures of neurotoxins and hemotoxins.,snake venoms are mixtures of neurotoxins and hemotoxins.,maj
Snakes are oviparous.,snakes are oviparous.,maj
Snakes live in water.,snakes live in water.,maj
Glass lizards eat rodents.,glass lizards eat rodents.,maj
Lizards eat food.,lizards eat food.,maj
Cottonmouth snakes have flat heads.,cottonmouth snakes have flat heads.,maj
Dangerous snakes produce venom.,dangerous snakes produce venom.,maj
Crocodiles are inside rivers.,crocodiles are inside rivers.,maj
Crocodiles emerge from swamp.,crocodiles emerge from swamp.,maj
Asparagus ferns require sunlight.,asparagus ferns require sunlight.,maj
Tortoises have adequate shelter.,tortoises have adequate shelter.,maj
Vipers have eyes.,vipers have eyes.,maj
King cobras have flexible jaws.,king cobras have flexible jaws.,maj
Lizards have eyes.,lizards have eyes.,maj
Tortoises use sharp claws.,tortoises use sharp claws.,maj
Lizards live in trees.,lizards live in trees.,maj
Lizards have flat tails.,lizards have flat tails.,maj
Wall lizards prefer habitats.,wall lizards prefer habitats.,maj
Wasps have abdomens.,wasps have abdomens.,maj
Tortoises fall into garden ponds.,tortoises fall into garden ponds.,maj
Lizards possess brown coloration.,lizards possess brown coloration.,maj
Sea turtles live in seawater.,sea turtles live in seawater.,maj
Pit vipers have fangs.,pit vipers have fangs.,maj
Lizards occur in regions.,lizards occur in regions.,maj
Desert lizards possess nasal glands.,desert lizards possess nasal glands.,maj
Snakes live in mountain terrains.,snakes live in mountain terrains.,maj
Tortoises have flexible necks.,tortoises have flexible necks.,maj
Lizards are insectivorous.,"lizards are insectivorous, feeding on  small insects, spiders, and other invertebrates.",maj
Lizards have limbs.,lizards have limbs.,maj
Tentacle snakes use prehensile tails.,tentacle snakes use prehensile tails.,maj
Snakes give birth to offspring.,snakes give birth to offspring.,maj
Lizards eat plants.,lizards eat plants.,maj
Lizards thrive in deserts.,lizards thrive in deserts.,maj
Eyelash vipers prey on mammals.,eyelash vipers prey on mammals.,maj
Crocodiles prefer habitats.,crocodiles prefer habitats.,maj
Snakes are found in tropical regions.,snakes are found in tropical regions.,maj
Crocodiles are inside ponds.,crocodiles are inside ponds.,maj
Snakes feed on lizards.,snakes feed on lizards.,maj
Desert tortoises have shells.,desert tortoises have shells.,maj
Poisonous snakes have fangs.,poisonous snakes have fangs.,maj
Lizards inhabit deserts.,lizards inhabit deserts.,maj
Lizards has-part spines.,lizards has-part spines.,maj
Iguanas have diets.,iguanas have diets.,maj
Snakes have dry skin.,snakes have dry skin.,maj
Snakes are descended from marine reptiles.,snakes are descended from marine reptiles.,maj
Crocodiles live in environments.,crocodiles live in environments.,maj
Harmless snakes have venom.,harmless snakes have venom.,maj
Corn snakes hibernate in burrows.,corn snakes hibernate in burrows.,maj
Snakes eat earthworms.,snakes eat earthworms.,maj
Sea turtles inhabit environments.,sea turtles inhabit environments.,maj
Snakes thrive in wetland.,snakes thrive in wetland.,maj
Social wasps are omnivores .,"social wasps are omnivores , eating both plants and other animals.",maj
Crocodiles have short legs.,crocodiles have short legs.,maj
Crocodiles eat animals.,crocodiles eat animals.,maj
Saltwater crocodiles have prey.,saltwater crocodiles have prey.,maj
Tortoises excrete urea.,tortoises excrete urea.,maj
Snakes come out of hibernation.,snakes come out of hibernation.,maj
Lizards live on earth.,lizards live on earth.,maj
Snakes eat rodents.,snakes eat rodents.,maj
Crocodiles are generally light tan while juveniles with black cross-banding on body and tail.,crocodiles are generally light tan while juveniles with black cross-banding on body and tail.,maj
Tortoises have necks.,tortoises have necks.,maj
Vipers develop organs.,vipers develop organs.,maj
Crocodiles are member of families.,crocodiles are member of families.,maj
Lizards inhabit american deserts.,lizards inhabit american deserts.,maj
Saltwater crocodiles prey on mammals.,saltwater crocodiles prey on mammals.,maj
Social wasps live in large colonies.,social wasps live in large colonies.,maj
Iguanas has-part organs.,iguanas has-part organs.,maj
Vipers have large ranges.,vipers have large ranges.,maj
Geckos eat insects.,geckos eat insects.,maj
Marine iguanas regulate temperature.,marine iguanas regulate temperature.,maj
Tiny wasps have wings.,tiny wasps have wings.,maj
Snakes try to flee when threatened.,snakes try to flee when threatened.,maj
Crocodiles become freshwater predators.,crocodiles become freshwater predators.,maj
Tortoises have diets.,tortoises have diets.,maj
Water snakes eat prey.,water snakes eat prey.,maj
Black snakes live in habitats.,black snakes live in habitats.,maj
Snakes possess organs.,snakes possess organs.,maj
Saltwater crocodiles have heavy jaws.,saltwater crocodiles have heavy jaws.,maj
Sand vipers have eyes.,sand vipers have eyes.,maj
Crocodiles live in rivers.,crocodiles live in rivers.,maj
Snakes lack movable eyelids.,snakes lack movable eyelids.,maj
Geckos reach maturity.,geckos reach maturity.,maj
Snakes house themselves in old burrows made by rodents and other animals.,snakes house themselves in old burrows made by rodents and other animals.,maj
Sea turtles inhabit different environments.,sea turtles inhabit different environments.,maj
Snakes live in gardens.,snakes live in gardens.,maj
Venomous snakes eat mice.,venomous snakes eat mice.,maj
Snakes have yellow bellies.,snakes have yellow bellies.,maj
Indian cobras adapt to environments.,indian cobras adapt to environments.,maj
Lizards have moveable eyelids.,lizards have moveable eyelids.,maj
Snakes maintain body temperature.,snakes maintain body temperature.,maj
Giant tortoises have round heads.,giant tortoises have round heads.,maj
Snakes feed about once a week on mice.,"snakes feed about once a week on mice, rats and other small animals.",maj
Lizards has-part heads.,lizards has-part heads.,maj
Crocodiles seize prey.,crocodiles seize prey.,maj
Water snakes have round heads.,water snakes have round heads.,maj
Snakes have tails.,snakes have tails.,maj
Tortoises live on ground.,tortoises live on ground.,maj
Lizards eat bugs.,lizards eat bugs.,maj
Python snakes live for years.,python snakes live for years.,maj
Snakes kill prey.,snakes kill prey.,maj
Snakes have sensory organs.,snakes have sensory organs.,maj
Geckos have thick skin.,geckos have thick skin.,maj
Snakes belong to families.,snakes belong to families.,maj
Cuban crocodiles have teeth.,cuban crocodiles have teeth.,maj
Lizards chew food.,lizards chew food.,maj
Snakes vary in color.,snakes vary in color.,maj
Snakes eat large prey.,snakes eat large prey.,maj
Snakes have elliptical shapes.,snakes have elliptical shapes.,maj
Pit vipers have hollow fangs.,pit vipers have hollow fangs.,maj
Whiptail lizards eat scorpions.,whiptail lizards eat scorpions.,maj
Geckos reach sexual maturity.,geckos reach sexual maturity.,maj
Garter snakes survive extreme conditions.,garter snakes survive extreme conditions.,maj
Ribbon snakes hibernate during winter months.,ribbon snakes hibernate during winter months.,maj
Snake bites occur when someone accidentally steps on a snake while walking in the countryside.,snake bites occur when someone accidentally steps on a snake while walking in the countryside.,maj
Cottonmouth snakes have pupils.,cottonmouth snakes have pupils.,maj
Iguanas have noses.,iguanas have noses.,maj
Crocodiles inhabit states.,crocodiles inhabit states.,maj
Saltwater crocodiles feed on fish.,saltwater crocodiles feed on fish.,maj
Snakes come from eggs.,snakes come from eggs.,maj
Snakes have backbones.,snakes have backbones.,maj
Corn snakes eat rodents.,corn snakes eat rodents.,maj
Lizards live in hemispheres.,lizards live in hemispheres.,maj
Geckos have heads.,geckos have heads.,maj
Geckos eat moths.,geckos eat moths.,maj
American alligators have eyes.,american alligators have eyes.,maj
Lizards find their food visually through movement.,lizards find their food visually through movement.,maj
Lizards develop stomachs.,lizards develop stomachs.,maj
Australian snakes search for prey.,australian snakes search for prey.,maj
Snakes have total length.,snakes have total length.,maj
Tortoises have hind legs.,tortoises have hind legs.,maj
American crocodiles thrive in healthy environments.,american crocodiles thrive in healthy environments.,maj
Lizards inhabit north american deserts.,lizards inhabit north american deserts.,maj
Snakes survive extreme conditions.,snakes survive extreme conditions.,maj
Snakes have organs.,snakes have organs.,maj
Snakes are poisonous.,snakes are poisonous.,maj
Lizards descend from dinosaurs.,lizards descend from dinosaurs.,maj
Lizards live in areas.,lizards live in areas.,maj
Lizards eat spiders.,lizards eat spiders.,maj
Ball pythons kill prey animals.,ball pythons kill prey animals.,maj
Desert lizards possess glands.,desert lizards possess glands.,maj
Crocodiles prey on mammals.,crocodiles prey on mammals.,maj
Tortoises have digestive organs.,tortoises have digestive organs.,maj
Sea turtles graze on plants.,sea turtles graze on plants.,maj
Snakes have legs until they shed their first skin.,snakes have legs until they shed their first skin.,maj
Tortoises live in areas.,tortoises live in areas.,maj
Tortoises have exoskeletons.,tortoises have exoskeletons.,maj
Lizards possess glands.,lizards possess glands.,maj
Lizards have weak legs.,lizards have weak legs.,maj
Snakes has-part teeth.,snakes has-part teeth.,maj
Lizards can run.,"lizards can run, climb, and cling.",maj
Snakes use prehensile tails.,snakes use prehensile tails.,maj
Lizards possess blood.,lizards possess blood.,maj
Snakes live in ranges.,snakes live in ranges.,maj
Crocodiles has-part teeth.,crocodiles has-part teeth.,maj
Green iguanas live near water.,green iguanas live near water.,maj
Snakes possess mild venom.,snakes possess mild venom.,maj
Snakes live in holes.,snakes live in holes.,maj
Sea turtles have legs.,sea turtles have legs.,maj
Crocodiles wait for prey.,crocodiles wait for prey.,maj
Snakes thrive in environments.,snakes thrive in environments.,maj
Lizards have scaly skin.,lizards have scaly skin.,maj
Crocodiles have legs.,crocodiles have legs.,maj
Sea turtles are found in warm temperate seas.,sea turtles are found in warm temperate seas.,maj
Snakes have distinct color patterns.,snakes have distinct color patterns.,maj
Lizards has-part claws.,lizards has-part claws.,maj
Tortoises can lay hundreds of eggs at a time.,tortoises can lay hundreds of eggs at a time.,maj
Snakes use holes dug by other animals.,"snakes use holes dug by other animals, or cavities left by rotting tree roots, for shelter.",maj
Snakes occupy habitats.,snakes occupy habitats.,maj
Saltwater crocodiles mate during years.,saltwater crocodiles mate during years.,maj
Aspen trees have green leaves.,aspen trees have green leaves.,maj
Asparagus plants produce flowers.,asparagus plants produce flowers.,maj
Geckos lack movable eyelids.,geckos lack movable eyelids.,maj
Iguanas obtain the majority of their dietary water from the moisture contained in the diet.,iguanas obtain the majority of their dietary water from the moisture contained in the diet.,maj
Tortoises maintain temperature.,tortoises maintain temperature.,maj
Vipers prey on small mammals.,vipers prey on small mammals.,maj
Snakes eat spiders.,snakes eat spiders.,maj
Snakes have flexible jaws.,snakes have flexible jaws.,maj
Lizards have tails.,lizards have tails.,maj
Saltwater crocodiles have jaws.,saltwater crocodiles have jaws.,maj
Geckos are active during the night and sleep during the day.,geckos are active during the night and sleep during the day.,maj
American alligators live in environments.,american alligators live in environments.,maj
Snakes have either only one lung.,"snakes have either only one lung, or in some cases two, with one very reduced in size.",maj
Lizards have skin.,lizards have skin.,maj
Wasp larvae eat prey.,wasp larvae eat prey.,maj
Snakes live near habitats.,snakes live near habitats.,maj
Tortoises have front legs.,tortoises have front legs.,maj
Female wasps have stingers.,female wasps have stingers.,maj
Snakes possess saliva.,snakes possess saliva.,maj
American alligators occur in temperate regions.,american alligators occur in temperate regions.,maj
Snakes eat prey.,snakes eat prey.,maj
Snakes crawl out of skin.,snakes crawl out of skin.,maj
Crocodiles have teeth.,crocodiles have teeth.,maj
Sea turtles have bones.,sea turtles have bones.,maj
Snakes have flat heads.,snakes have flat heads.,maj
Tortoises have dome shells.,tortoises have dome shells.,maj
Crocodiles live in climates.,crocodiles live in climates.,maj
Juvenile crocodiles feed on fish.,juvenile crocodiles feed on fish.,maj
Snakes live on grassland.,snakes live on grassland.,maj
Snakes hibernate during winter months.,snakes hibernate during winter months.,maj
Snakes have offspring.,snakes have offspring.,maj
Crocodiles have eyes.,crocodiles have eyes.,maj
Snakes have shapes.,snakes have shapes.,maj
Snakes survive in regions.,snakes survive in regions.,maj
Snakes have jaws that can open wider than their heads so that they can swallow larger prey.,snakes have jaws that can open wider than their heads so that they can swallow larger prey.,maj
Lizards live in environments.,lizards live in environments.,maj
Tortoises have lifespans.,tortoises have lifespans.,maj
American crocodiles inhabit habitats.,american crocodiles inhabit habitats.,maj
Cottonmouth snakes have broad flat heads.,cottonmouth snakes have broad flat heads.,maj
Snakes eat animals.,snakes eat animals.,maj
Tortoises prefer habitats.,tortoises prefer habitats.,maj
Lizards eat insects.,lizards eat insects.,maj
Ribbon snakes hibernate during months.,ribbon snakes hibernate during months.,maj
Geckos occupy habitats.,geckos occupy habitats.,maj
Lizards walk on legs.,lizards walk on legs.,maj
Snakes have elliptical pupils.,snakes have elliptical pupils.,maj
Lizards develop lungs.,lizards develop lungs.,maj
Lizards breed in the early spring.,lizards breed in the early spring.,maj
Lizards have temperature.,lizards have temperature.,maj
Aspen trees have moist leaves.,aspen trees have moist leaves.,maj
Cottonmouths eat frogs.,cottonmouths eat frogs.,maj
Crocodiles appear in water.,crocodiles appear in water.,maj
Lizards have temporary teeth.,lizards have temporary teeth.,maj
Saltwater crocodiles live in estuaries.,saltwater crocodiles live in estuaries.,maj
Australian snakes are active hunters.,australian snakes are active hunters.,maj
Lizards use muscles.,lizards use muscles.,maj
Lizards has-part limbs.,lizards has-part limbs.,maj
Constrictor snakes become predators.,constrictor snakes become predators.,maj
Lizards has-part flesh.,lizards has-part flesh.,maj
Sea snakes are able to breathe through their skin.,sea snakes are able to breathe through their skin.,maj
Iguanas are herbivores.,"iguanas are herbivores, eating fruits, flower buds, and young leaves.",maj
Lizards has-part organs.,lizards has-part organs.,maj
American crocodiles feed on fish.,american crocodiles feed on fish.,maj
Ball pythons eat rodents.,ball pythons eat rodents.,maj
Crocodiles live in estuaries.,crocodiles live in estuaries.,maj
Snakes have metabolism.,snakes have metabolism.,maj
Snakes eat mice.,snakes eat mice.,maj
Tortoises live in sandy areas.,tortoises live in sandy areas.,maj
Crocodiles kill prey.,crocodiles kill prey.,maj
Crocodiles float in rivers.,crocodiles float in rivers.,maj
Crocodiles inhabit water.,crocodiles inhabit water.,maj
Tortoises has-part stomachs.,tortoises has-part stomachs.,maj
Desert tortoises have dome shells.,desert tortoises have dome shells.,maj
Crocodiles have quick reflexes.,crocodiles have quick reflexes.,maj
Lizards have lungs.,lizards have lungs.,maj
Giant tortoises live for years.,giant tortoises live for years.,maj
Crocodiles has-part organs.,crocodiles has-part organs.,maj
Snakes have triangular heads.,snakes have triangular heads.,maj
Pet snakes eat prey.,pet snakes eat prey.,maj
Iguanas feed only once a day.,iguanas feed only once a day.,maj
Cottonmouth snakes have elliptical pupils.,cottonmouth snakes have elliptical pupils.,maj
Sea turtles lay their eggs at night in order to expose their eggs to fewer predators.,sea turtles lay their eggs at night in order to expose their eggs to fewer predators.,maj
Snakes eat mammals.,snakes eat mammals.,maj
Desert lizards possess salt glands.,desert lizards possess salt glands.,maj
Tortoises eat cactus plants.,tortoises eat cactus plants.,maj
Crocodiles stand in rivers.,crocodiles stand in rivers.,maj
Tortoises have strong legs.,tortoises have strong legs.,maj
Snakes regulate temperature.,snakes regulate temperature.,maj
Sea turtles have upper eyelids.,sea turtles have upper eyelids.,maj
Lizards occur at elevation.,lizards occur at elevation.,maj
Desert tortoises live in areas.,desert tortoises live in areas.,maj
Snakes give birth to snakes.,snakes give birth to snakes.,maj
Snakes hide in grass.,snakes hide in grass.,maj
Crocodiles feast on animals.,crocodiles feast on animals.,maj
Corn snakes learn to eat previously frozen.,"corn snakes learn to eat previously frozen, but fully thawed out, mice.",maj
Egyptian tortoises feed on grass.,egyptian tortoises feed on grass.,maj
Saltwater crocodiles use tails.,saltwater crocodiles use tails.,maj
Snakes have color.,snakes have color.,maj
Snakes receive sunlight.,snakes receive sunlight.,maj
Jamaican iguanas feed on flowers.,jamaican iguanas feed on flowers.,maj
Snakes have jaws.,snakes have jaws.,maj
Tentacle snakes possess venom.,tentacle snakes possess venom.,maj
Tortoises survive years.,tortoises survive years.,maj
Snakes produce venom.,snakes produce venom.,maj
Lizards eat rodents.,lizards eat rodents.,maj
Snakes are evolved from ancestors.,snakes are evolved from ancestors.,maj
Sea snakes have a paddle like tail.,"sea snakes have a paddle like tail, which they use to propel themselves through the water.",maj
Giant geckos have toes.,giant geckos have toes.,maj
Garter snakes have color patterns.,garter snakes have color patterns.,maj
Large crocodiles have claws.,large crocodiles have claws.,maj
Snakes survive extreme environmental conditions.,snakes survive extreme environmental conditions.,maj
Sea snakes are able to breathe through their skin .,sea snakes are able to breathe through their skin .,maj
Snakes feed on large lizards.,snakes feed on large lizards.,maj
Crocodiles eat small mammals.,crocodiles eat small mammals.,maj
Lizards learn to prey.,lizards learn to prey.,maj
Saltwater crocodiles prey on large mammals.,saltwater crocodiles prey on large mammals.,maj
Lizards have life.,lizards have life.,maj
Snakes live in terrains.,snakes live in terrains.,maj
Iguana food has proteins.,iguana food has proteins.,maj
Desert tortoises use sharp claws.,desert tortoises use sharp claws.,maj
Crocodiles have claws.,crocodiles have claws.,maj
Vipers wait for prey.,vipers wait for prey.,maj
Crocodiles have noses.,crocodiles have noses.,maj
Snakes live for years.,snakes live for years.,maj
Snakes move to shade areas.,snakes move to shade areas.,maj
Lizards are predators that feed primarily on small insects and other terrestrial invertebrates.,lizards are predators that feed primarily on small insects and other terrestrial invertebrates.,maj
Tentacle snakes use tails.,tentacle snakes use tails.,maj
Freshwater crocodiles have strong legs.,freshwater crocodiles have strong legs.,maj
Snakes has-part mouths.,snakes has-part mouths.,maj
Geckos feed on insects.,geckos feed on insects.,maj
American crocodiles thrive in environments.,american crocodiles thrive in environments.,maj
Iguanas dig nest burrows.,iguanas dig nest burrows.,maj
Geckos have feet.,geckos have feet.,maj
Lizards live in regions.,lizards live in regions.,maj
Vipers give birth to living young from eggs hatched inside the mother's body.,vipers give birth to living young from eggs hatched inside the mother's body.,maj
Wasps have wings.,wasps have wings.,maj
Crocodiles eat mammals.,crocodiles eat mammals.,maj
Lizards wait for prey.,lizards wait for prey.,maj
Lizards eat other small insects.,lizards eat other small insects.,maj
Lizards require water.,lizards require water.,maj
Crocodiles swim in water.,crocodiles swim in water.,maj
Snakes emerge from eggs.,snakes emerge from eggs.,maj
Lizards adapt to environments.,lizards adapt to environments.,maj
Lizards give birth to lizards.,lizards give birth to lizards.,maj
Lizards eat scorpions.,lizards eat scorpions.,maj
Wasps have stingers.,wasps have stingers.,maj
Lizards have short legs.,lizards have short legs.,maj
Snakes maintain temperature.,snakes maintain temperature.,maj
Crocodiles have skin.,crocodiles have skin.,maj
Lizards have teeth.,lizards have teeth.,maj
Large crocodiles have powerful claws.,large crocodiles have powerful claws.,maj
Geckoes are night geckoes and have drab colored skin.,"geckoes are night geckoes and have drab colored skin, but day geckoes have light colored skin.",maj
Crocodiles have heavy jaws.,crocodiles have heavy jaws.,maj
Lizards possess metamorphosis.,lizards possess metamorphosis.,maj
Lizards develop jaws.,lizards develop jaws.,maj
Lizards live in locations.,lizards live in locations.,maj
Crocodiles live in waterways.,crocodiles live in waterways.,maj
Asparagus beetles feed on asparagus plants.,asparagus beetles feed on asparagus plants.,maj
Vipers have yellow eyes.,vipers have yellow eyes.,maj
Crocodiles possess ancestors.,crocodiles possess ancestors.,maj
Lizards have collarbones.,lizards have collarbones.,maj
Tortoises have legs.,tortoises have legs.,maj
Parasitic wasps have wings.,parasitic wasps have wings.,maj
Snakes capture prey.,snakes capture prey.,maj
American crocodiles eat animals.,american crocodiles eat animals.,maj
Lizards require food.,lizards require food.,maj
Lizards avoid venomous snakes.,lizards avoid venomous snakes.,maj
Crocodiles has-part arteries.,crocodiles has-part arteries.,maj
Snakes consume prey.,snakes consume prey.,maj
Snakes live in rain forest areas.,snakes live in rain forest areas.,maj
Vipers strike animals.,vipers strike animals.,maj
Monitor lizards use throat muscles.,monitor lizards use throat muscles.,maj
Lizards feed on food.,lizards feed on food.,maj
Snakes simply swallow their prey whole.,snakes simply swallow their prey whole.,maj
Saltwater crocodiles reproduce during wet seasons.,saltwater crocodiles reproduce during wet seasons.,maj
Snakes eat small mammals.,snakes eat small mammals.,maj
Asparagus grows from seeds.,asparagus grows from seeds.,maj
Crocodiles go to water.,crocodiles go to water.,maj
Crocodiles live in temperate climates.,crocodiles live in temperate climates.,maj
Cottonmouth snakes have heads.,cottonmouth snakes have heads.,maj
Snakes make eggs.,snakes make eggs.,maj
Snakes regulate body temperature.,snakes regulate body temperature.,maj
Geckos inhabit regions.,geckos inhabit regions.,maj
Tortoises have hard shells.,tortoises have hard shells.,maj
Vipers live in environments.,vipers live in environments.,maj
Snakes capture aquatic prey.,snakes capture aquatic prey.,maj
Tortoises grow throughout life.,tortoises grow throughout life.,maj
Snakes possess glands.,snakes possess glands.,maj
Coral snakes belong to families.,coral snakes belong to families.,maj
Sugary food affects blood sugar levels.,sugary food affects blood sugar levels.,maj
Freshwater sharks inhabit shallow water.,freshwater sharks inhabit shallow water.,maj
Cigarette smoke contains carcinogen.,cigarette smoke contains carcinogen.,maj
Angler fish use dorsal fins.,angler fish use dorsal fins.,maj
Carpenter ants cause damage.,carpenter ants cause damage.,maj
Cigarette smoke contains know carcinogen.,cigarette smoke contains know carcinogen.,maj
Stingrays reach maturity.,stingrays reach maturity.,maj
Jellyfish stings occur in saltwater.,jellyfish stings occur in saltwater.,maj
Venomous fish deliver the toxins through the use of a spine.,venomous fish deliver the toxins through the use of a spine.,maj
Starfishs have chemicals.,starfishs have chemicals.,maj
Stingrays have shapes.,stingrays have shapes.,maj
Starfish have a spiky or leathery surface.,"starfish have a spiky or leathery surface, depending upon the species.",maj
